Nome,Data,Latitude,Longitude,Stato,Categoria,Link_thumbnail,id,Thumbnail,,
famiglia_siciliana,2023:08:23,45.463303,9.189408972,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/30.jpg,30,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/30.jpg?raw=true"">",,
florida,2023:08:22,45.461927,9.204141972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/31.jpg,31,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/31.jpg?raw=true"">",,
galleria_blu,2023:08:22,45.469067,9.190737,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/32.jpg,32,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/32.jpg?raw=true"">",,
gatto_verde,2023:08:22,45.48487097,9.206495972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/33.jpg,33,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/33.jpg?raw=true"">",,
hifi_club,2023:08:23,45.463729,9.189387972,non attivo,Whisky a go-go,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/34.jpg,34,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/34.jpg?raw=true"">",,
hotel_cavalieri,2023:08:23,45.461393,9.188366,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/35.jpg,35,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/35.jpg?raw=true"">",,
hotel_principe_savoia,2023:08:22,45.47982197,9.197739,attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/36.jpg,36,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/36.jpg?raw=true"">",,
il_globo_restelli,2023:08:22,45.48858297,9.196246972,non attivo,Teatro,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/37.jpg,37,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/37.jpg?raw=true"">",,
istituto_dei_ciechi,2023:08:22,45.469037,9.204043,attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/38.jpg,38,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/38.jpg?raw=true"">",,
la_bagatelle,2023:08:22,45.46600897,9.197020972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/39.jpg,39,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/39.jpg?raw=true"">",,
la_barca_d'oro,2023:08:22,45.47037797,9.194580972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/40.jpg,40,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/40.jpg?raw=true"">",,
la_lucciola,2023:08:23,45.487068,9.223534,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/41.jpg,41,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/41.jpg?raw=true"">",,
la_maggiolina,2023:08:22,45.50028497,9.201646972,non attivo,Dancing,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/42.jpg,42,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/42.jpg?raw=true"">",,
le_roi,2023:08:22,45.468141,9.181914,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/43.jpg,43,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/43.jpg?raw=true"">",,
lido,2023:08:19,45.480414,9.142243972,attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/44.jpg,44,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/44.jpg?raw=true"">",,
lido_trianon,2023:08:22,45.46562492,9.194901823,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/45.jpg,45,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/45.jpg?raw=true"">",,
maxim,2023:08:22,45.47127959,9.19393075,non attivo,Dancing,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/46.jpg,46,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/46.jpg?raw=true"">",,
